ID_CLIENTE,QTD_SOL_LAST_30D,DAYS_SINCE_LAST,N_UNIQUE_DATES,QTD_REGISTROS_CLIENTE,JA_TENTOU_CANCELAR_max,QTD_FINANCEIRO_mean,QTD_SUPORTE_TECNICO_mean,QTD_OUTROS_mean,QTD_ADMINISTRATIVO_mean,TAXA_CONTATO_DIA
174642,2,0,21,24,0,4,16,4,0,24
189444,1,3,10,11,0,9,0,2,0,11
195930,0,132,5,7,0,0,3,3,1,7
148830,2,6,19,23,1,8,2,1,6,23
198258,0,80,1,1,0,0,0,1,0,1
187523,0,99,5,6,0,4,1,1,0,6
153958,0,92,31,38,1,27,0,3,0,38
39109,1,24,30,42,1,28,0,5,3,42
187683,3,4,21,23,0,13,1,8,1,23
152416,0,121,13,23,1,0,3,8,8,23
197491,1,9,2,2,0,2,0,0,0,2
189643,0,112,1,1,0,1,0,0,0,1
143572,0,64,11,15,1,7,3,1,1,15
1915,0,455,11,14,1,2,5,2,2,14
74097,1,24,51,61,1,31,5,8,5,61
89392,0,65,20,30,1,14,10,2,2,30
180794,0,149,6,6,0,2,3,1,0,6
24116,1,15,16,24,1,8,8,3,4,24
106625,0,114,4,4,0,0,2,2,0,4
127719,3,7,27,38,1,27,7,0,1,38
158769,1,22,20,23,1,14,4,2,0,23
177293,1,2,33,43,1,28,3,5,0,43
176762,0,215,12,17,1,8,6,0,0,17
133664,2,4,40,54,1,24,15,10,1,54
181183,0,34,19,25,0,15,6,1,3,25
92255,0,60,22,38,1,7,16,6,1,38
190256,0,37,4,4,0,2,0,0,2,4
154359,1,30,34,55,1,28,14,1,8,55
115165,1,18,13,16,0,6,2,6,2,16
122080,0,52,26,33,1,23,1,4,0,33
155410,0,58,25,32,1,22,5,1,1,32
180496,0,238,9,11,0,0,5,2,3,11
136042,0,227,9,13,0,0,8,5,0,13
146071,0,63,9,10,0,7,3,0,0,10
189014,4,2,26,39,1,23,3,3,8,39
189937,1,10,16,17,0,13,0,0,0,17
110830,4,22,11,15,0,9,4,2,0,15
154555,1,21,28,50,1,26,10,5,3,50
141463,1,10,17,21,1,9,6,3,0,21
172299,0,137,2,2,0,0,1,0,0,2
190299,0,216,2,3,0,0,1,1,1,3
176922,1,30,13,13,0,9,2,1,0,13
124929,0,211,9,10,0,3,5,1,1,10
171284,2,1,55,72,0,42,17,7,5,72
94618,4,4,54,79,1,45,9,4,0,79
130845,0,527,3,4,0,0,3,0,1,4
133130,0,46,50,67,1,25,16,10,8,67
170907,4,24,14,23,1,9,6,3,1,23
183162,1,7,15,24,1,20,1,1,0,24
192802,0,268,1,1,0,0,1,0,0,1
134078,4,21,42,71,1,45,9,2,3,71
172653,0,319,3,3,0,1,0,0,2,3
173341,1,22,27,34,1,16,13,2,2,34
102682,2,27,23,27,0,14,13,0,0,27
127175,0,62,16,19,0,14,3,2,0,19
188065,4,1,13,25,0,19,3,3,0,25
181317,3,9,18,23,1,14,4,1,2,23
84833,2,13,7,9,1,1,4,2,0,9
144574,2,18,9,10,0,10,0,0,0,10
175471,0,204,8,9,0,1,2,0,6,9
185145,0,340,1,1,0,0,0,0,1,1
101607,0,102,22,25,1,9,14,1,0,25
192621,3,1,22,36,1,25,5,3,0,36
184804,2,14,12,16,0,6,8,2,0,16
191083,4,1,10,20,1,8,0,4,5,20
8959,0,70,24,30,0,10,8,5,4,30
187104,3,4,12,12,1,10,1,0,0,12
169814,0,36,17,19,1,10,5,2,0,19
195574,1,1,9,10,0,1,4,1,4,10
195440,3,30,5,7,0,5,0,2,0,7
121954,3,22,22,24,1,9,2,2,0,24
197095,1,16,1,1,0,1,0,0,0,1
116945,0,147,3,7,0,2,4,0,0,7
171428,0,295,11,14,1,0,4,5,3,14
122896,2,30,30,42,1,25,5,5,2,42
91701,0,56,22,28,1,22,3,2,0,28
100817,0,51,7,8,0,0,4,4,0,8
176973,4,11,14,21,1,12,1,3,1,21
188840,4,7,20,20,0,20,0,0,0,20
165733,0,100,1,1,0,1,0,0,0,1
160947,1,16,18,23,0,15,3,1,4,23
131827,0,527,1,4,0,1,3,0,0,4
145303,0,37,14,15,0,6,7,1,0,15
125902,1,30,14,15,0,3,8,1,1,15
157703,1,24,8,11,0,4,2,2,2,11
181560,0,527,1,1,0,0,1,0,0,1
153700,4,10,11,16,1,10,3,0,0,16
175476,0,48,21,22,0,13,4,5,0,22
187450,4,16,14,24,1,12,0,3,2,24
145255,0,71,36,52,1,29,11,4,1,52
32311,0,87,4,4,0,0,1,2,1,4
101222,3,22,29,39,0,24,5,8,0,39
107694,0,143,11,11,0,1,6,2,0,11
174106,2,14,16,16,1,6,3,1,0,16
15372,1,9,45,69,1,39,11,9,0,69
154253,4,2,41,63,1,28,25,5,0,63
112056,0,74,24,28,0,17,6,4,0,28
144924,1,11,9,11,1,8,1,1,0,11
81495,0,86,7,17,0,8,2,5,2,17
93133,0,44,16,19,0,6,9,4,0,19
183782,0,49,16,23,0,7,4,3,7,23
136423,0,122,32,47,0,30,8,2,5,47
159367,1,3,12,13,0,6,0,2,0,13
191188,0,324,2,3,0,0,1,0,2,3
143494,0,281,14,18,1,9,5,2,1,18
193175,2,11,4,4,1,1,0,0,0,4
