ID_CLIENTE,QTD_SOL_LAST_30D,DAYS_SINCE_LAST,N_UNIQUE_DATES,QTD_REGISTROS_CLIENTE,JA_TENTOU_CANCELAR_max,QTD_FINANCEIRO_mean,QTD_SUPORTE_TECNICO_mean,QTD_OUTROS_mean,QTD_ADMINISTRATIVO_mean,TAXA_CONTATO_DIA,RISCO_PREDITO,DATA_HORA

167683,1,147,13,17,1,5,4,2,3,17,41.68%,2025-12-30T04:32:57.094Z
167683,1,207,14,18,1,5,4,2,3,18,35.9%,2025-12-30T04:33:14.126Z
142816,1,217,17,18,0,4,7,4,1,18,20.64%,2026-01-07T12:41:28.606Z
160839,1,0,17,21,1,10,3,3,0,21,47.64%,2026-01-09T16:51:40.917Z
46778,1,0,20,27,1,15,5,2,0,27,50.28%,2026-01-10T03:22:03.050Z
165833,1,0,7,8,1,4,2,0,1,8,45.66%,2026-01-12T01:09:10.241Z
195091,1,0,11,16,1,11,2,0,1,16,52.99%,2026-01-12T01:20:02.680Z
